Post,Caption,Date,likesComment,IdFatherComment,IdChildComment,Username
@mollywoodrowevans 🔥,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-09-07T04:58:48.000Z,1,0,e3c5429e-3410-4dc0-b44b-7ee710c80538,samlbenj
@christianlastric 🔥,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-09-19T07:58:13.000Z,0,0,a4c7d213-2064-45ae-be01-fe837560968f,tat__janaa
@alomancy 😂,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-10-25T19:23:23.000Z,0,0,a08aac7e-62d9-4621-aa6c-99e7a682a41f,sarah.h.stewart
@azzxn_,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-11-04T04:17:59.000Z,1,0,45596c9a-e4c7-488d-9a2a-2d25922b76a1,zariaamoon_
@soyycarmen,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-11-12T20:15:27.000Z,1,0,fbe68dab-e74c-4cbc-ada1-ff890bc9a78c,massatcody
HUSSEIN MOHAMMED AHMED YUSUF AHMED ALI HUSSEIN MOHAMMED YUSUF ALI MOHAMMED YUSUF AHMED ALI HUSSEIN MUHAMMED ALI MUHAMMAD ONE ☝️ HUNDRED BILLION DOLLARS 💵,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-11-20T18:38:43.000Z,0,0,ce049e73-15f9-44a9-bf42-62714cef7dfc,afzal_995_million_bmw8i9
Dam that’s all? Im gettin one,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-12-04T03:50:42.000Z,0,0,f3ab8d9b-e4d1-4282-8c87-9286a6829237,papa_sann
Eight billion dollars 💵 Candice Swanepoel Tree 🌳 Billion Metal Cars 🚙💿🇮🇹🚗🇭🇰🚙🌳🇬🇪🏂🐺🇦🇺🌎💵🍋🍓✈️🚁🚁💶💀🎥🎥🦹‍♀️🦹‍♀️🇬🇧🇺🇸🇲🇦💫👀👀🌃,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-12-09T18:56:25.000Z,0,0,cf744ca4-922c-44f3-b3fe-372d85664e35,afzal_995_million_bmw8i9
@suit_up_romeo 😋🤤 Seriously so yum 🤤,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2021-12-21T05:01:33.000Z,1,0,d00155e6-14de-45e4-bb04-9d15c0d3f813,jennyjenjen_xoxoxo
@_sonxkshi_,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2022-01-13T16:11:30.000Z,0,0,57cd378e-975b-43d2-9b31-55605cd1b9fa,s_t_e_l_l_i_n_a_01
😍❤️😍😍😍❤️❤️❤️❤️,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2022-01-15T23:25:21.000Z,0,0,9d91984d-4501-4d3d-84b6-cacf527a8fd2,parsa_aryaaa
@jules.elwood 😂,Tesla en Instagram: “This never gets old - @ the person you do this to most. 🎥 by @mikepfau”,2022-02-07T22:04:05.000Z,0,0,1fbd0e06-d965-4a38-8538-d67aa17f3843,amy_elwood_13
